,categoryId,channelId,channelTitle,commentCount,dislikeCount,likeCount,publishedAt,tags,title,videoId,viewCount
165,23,UCF_Xf8l8kspCPkgzhn5sYRw,Cat Tuber,1200.0,5409.0,27961.0,2017-02-26T23:33:30.000Z,"['BEST OF GIRLS FAILS', 'funny girls fails', 'Try Not To Laugh Funny Fails', 'Funny Fails Video Compilation', 'funny fails', 'epic fails', 'live video compilation', 'new fails', '2017', 'epic fail compilation', 'fail video compilation', 'comedy', 'funny', 'try not to laugh', 'live funny vines', 'cat tuber live stream', 'girls', 'girls fail 2017', 'compilation vines', 'funny vines', 'funny videos 2017', 'best of fails', 'funny vines 2017', 'funny videos', 'ylyl', 'AFV', 'funny afv', 'afv funny fails', 'afv funny videos', 'afv girls']",AFV BEST OF GIRLS FAILS - Try Not To Laugh AFV Girls Funny Fails Video Compilation,vpB2hyI9p_k,15144273.0
167,17,UCpcTrCXblq78GZrTUTLWeBw,FIFATV,16908.0,6191.0,105389.0,2018-06-23T20:50:06.000Z,"['sp:st=soccer', 'sp:li=NATL_WCUP', 'sp:dt=2018-06-23T18:00:00Z', 'sp:ti:home=GER', 'sp:ti:away=SWE', 'sp:ty=high', 'Highlights', 'Match Highlights', 'Germany', 'Sweden', '2018 FIFA World Cup Russia', 'Russia 2018', 'World Cup', 'World Cup Highlights', 'Match City', 'Russia', 'Football', 'FIFA', 'Goals', 'official', 'Soccer', 'Futbol', 'Futebol', 'Fußball', 'Fussball', 'Calcio', 'Voetbal', 'كرة فوتبول']",Germany v Sweden - 2018 FIFA World Cup Russia™ - Match 27,4e9a3KptfC0,14993039.0
168,28,UCFe-pfe0a9bDvWy74Jd7vFg,Massachusetts Institute of Technology (MIT),7607.0,2729.0,76885.0,2015-05-28T20:40:30.000Z,"['Jump', 'Jumping', 'Massachusetts Institute Of Technology (College/University)', 'Jumps', 'Cheetah (Animal)', 'robot', 'Robotics (Industry)', 'autonomous', 'Computer', 'Running (Sport)', 'Electronics']",MIT cheetah robot lands the running jump,_luhn7TLfWU,14389651.0
169,22,UC5DRlhhv561ao_JsttMeUPw,Emo,15595.0,5940.0,244857.0,2016-02-11T21:37:03.000Z,"['#Bullying', 'sad', 'bulling', 'sad scene', 'stopbullying', 'cyberbullymovie', 'cyber bully movie', 'cyberbully', 'cyberbullying', 'emotional scene', 'suicide', 'teen suicide', 'stop bulling', 'anti bulling', 'Stop it', 'Short movie', 'Stand up to bullying', 'stand up', 'Im Truly Sorry', 'Short Bullying Movie']",I'm Truly Sorry (Short Bullying Movie),qcvTsFqptS8,14040465.0
170,23,UCV9_KinVpV-snHe3C3n1hvA,shane,201933.0,12657.0,860071.0,2018-06-04T19:00:01.000Z,"['shanedawsontv', 'shane', 'dawson', 'vlogs', 'iphone', 'similar', 'to', 'jenna', 'marbles', 'smash', 'nigahiga', 'comedy']",MIND BLOWING CONSPIRACY THEORIES,_53cGxAUuDk,13751471.0
171,22,UCsT0YIqwnpJCM-mx7-gSA4Q,TEDx Talks,4575.0,3197.0,193408.0,2012-01-13T20:11:50.000Z,"['sports', 'Ryerson', 'recruitment', 'athletics', 'self confidence', 'ted', 'football', 'English', 'soccer', 'tedx talk', 'student', 'ted talk', 'ted x', 'TEDxRyersonU', 'tedx', 'originality', 'confidence', 'Canada', 'Ryerson University', 'ted talks', 'skills', 'agility', 'tedx talks']",The skill of self confidence | Dr. Ivan Joseph | TEDxRyersonU,w-HYZv6HzAs,13518832.0
172,17,UCpcTrCXblq78GZrTUTLWeBw,FIFATV,8705.0,4260.0,54159.0,2018-06-16T15:43:29.000Z,"['sp:st=soccer', 'sp:li=NATL_WCUP', 'sp:dt=2018-06-16T13:00:00Z', 'sp:ti:home=ARG', 'sp:ti:away=ISL', 'sp:ty=high', 'Highlights', 'Match Highlights', 'Argentina', 'Iceland', '2018 FIFA World Cup Russia', 'Russia 2018', 'World Cup', 'World Cup Highlights', 'Match City', 'Russia', 'Football', 'FIFA', 'Goals', 'official', 'Soccer', 'Futbol', 'Futebol', 'Fußball', 'Fussball', 'Calcio', 'Voetbal', 'كرة فوتبول']",Argentina v Iceland - 2018 FIFA World Cup Russia™ - MATCH 7,Xvarnwv6hRk,12991952.0
173,24,UCsT0YIqwnpJCM-mx7-gSA4Q,TEDx Talks,18543.0,5071.0,192121.0,2013-04-08T16:18:30.000Z,"['English', 'TEDxOxford', 'tedx talk', 'ted talk', 'UK', 'Oxford', '\\Mental arithmetic\\', 'ted talks', 'ted', 'ted x', 'Mathematics', 'tedx talks', 'United Kingdom (Country)', 'Maths', 'Math', 'tedx']",Faster than a calculator | Arthur Benjamin | TEDxOxford,e4PTvXtz4GM,12968332.0
174,24,UCA3OHQYyLKHdI_k54SMyb6w,JustDestiny,30616.0,21643.0,147766.0,2018-04-09T23:00:00.000Z,"['justdestiny', 'dr', 'phil', 'dr phil', 'danielle', 'bregoli', 'danielle bregoli', 'youtuber', 'comedy', 'tv', 'funny', 'family friendly', 'react', 'dr.', 'dr. phil', 'teen', 'dr.phil', 'drphil', 'talk', 'show', 'digger', 'gold', 'exposed', 'girlfriend', 'drama', 'hilarious', 'money', 'rich', 'cheater', 'expose', 'cash', 'me', 'outside', 'cash me outside', 'danielle bregoli dr phil', 'musically', 'musical.ly', 'bhad bhabie', 'dr phil 21 year old daughter', 'destiny']",Dr. Phil LOSES IT With Spoiled Little Girl,EOi8coVqzus,12871458.0
175,22,UCriLj-78wgE9_yCdWyk29nA,WatchZozo,10228.0,25659.0,33284.0,2016-02-12T16:57:20.000Z,"['A Husband', 'Divorced', 'His Wife', 'After Looking', 'Closer', 'Photo', 'watchzozo', 'top10', 'top5', 'stories', 'amazing', 'scary', 'funny', 'family', 'youutube', 'trending videos', '2016', 'new', 'news', 'best']",A Husband Divorced His Wife After Looking Closer At This Photo He Took Of Her,i0Hzp70ip2U,12561258.0
176,27,UCsT0YIqwnpJCM-mx7-gSA4Q,TEDx Talks,11031.0,15884.0,119490.0,2013-02-02T03:17:20.000Z,"['Media', 'Entertainment', 'Malibu', 'ted x', '\\Life Purpose\\', 'ted', 'California', '\\Adam Leipzig\\', '\\Cultural Weekly\\', 'ted talks', '\\Living Out Loud\\', 'English', 'Lifestyle', 'USA', 'AdamLeipzig.com', 'TEDxMalibu.com', 'TEDxMalibu', '\\Entertainment News\\', 'Life', '\\Los Angeles\\', 'tedx talks', '\\Who Are You\\', 'Business', 'TEDxMalibu2012', 'tedx talk', 'CulturalWeekly.com', 'tedx', 'ted talk', 'LOL', '\\Entertainment Industry\\', '\\United States\\']",How to know your life purpose in 5 minutes | Adam Leipzig | TEDxMalibu,vVsXO9brK7M,12459176.0
180,22,UCpko_-a4wgz2u_DgDgd9fqA,BuzzFeedVideo,20593.0,32053.0,222835.0,2018-06-22T23:19:12.000Z,"['buzzfeed', 'buzzfeedvideo', 'fortnite', 'dancers', 'dance challenge', 'fortnite dance', 'fortnite dances', 'dancing', 'fortnite funny moments', 'fortnite funny', 'video games', 'gamers', 'fortnite dance in real life', 'dance fails', 'fortnite dance music', 'new fortnite dances', 'dance', 'dance pros', 'funny', 'fortnite dance challenge', 'fortnite dance in irl', 'challenge', 'fortnite in real life', 'fortnite best moments', 'dances', 'fortnite moments', 'real life', 'new dances', 'in real life', 'fortnite challenge']",Professional Dancers Try The Fortnite Dance Challenge,8c5YY9DcoiE,12339276.0
184,26,UC295-Dw_tDNtZXFeAPAW6Aw,5-Minute Crafts,8963.0,11462.0,105719.0,2018-06-23T12:30:02.000Z,"['5-Minute Crafts', 'DIY', 'Do it yourself', 'crafts', 'trucos', 'trucos de belliza', 'proyectos faciles', 'useful things', 'lifehacks', 'tricks', 'tips', 'DIY projects', 'DIY activities', 'Handcraft', 'Tutorial', 'woman', 'women', 'girls', 'beauty secrets', 'spa day', 'relax', 'relaxation', 'deep relaxation', 'glue gun cap', 'high heels', 'edible lip balm', 'fake abs', 'painting skills', 'sneaky makeup', 'diet', 'healthy eating', 'summer', 'beach body', 'makeup bag', 'nails manicure', 'door handle', 'ice cubes', 'cold water']",30 BEAUTY HACKS TO TRICK PEOPLE INTO THINKING YOU'RE COOL,YBqDATEltNE,12319098.0
178,24,UCT0hbLDa-unWsnZ6Rjzkfug,FilmSelect Trailer,17615.0,4850.0,124276.0,2018-06-04T16:06:48.000Z,"['trailer', '2018', 'movie', 'filmselect', 'WRECK IT RALPH 2', 'WRECK IT RALPH 2 Trailer', 'ralph breaks the internet', 'disney']",WRECK IT RALPH 2 Trailer 2 (2018),KHQhp2cGZtE,12302330.0
177,26,UC4rlAVgAK0SGk-yTfe48Qpw,BRIGHT SIDE,6740.0,7757.0,307429.0,2017-07-05T17:00:02.000Z,"['workout at home', 'lose weight', 'weight loss', 'get in shape', 'stay in shape', 'no diet', 'training set', 'exercises for women', 'effective exercises', 'plank', 'push-ups', 'squats', 'exercises for abs', 'buttocks', 'perfect body', 'workout to lose weight', 'exercises for men']",4-Minute Workout That Replaces 1 Hour in the Gym,FRDGlIJTVt8,12297371.0
179,24,UCqFzWxSCi39LnW1JKFR3efg,Saturday Night Live,2445.0,7014.0,78663.0,2013-09-23T22:29:35.000Z,"['archery', 'season 38', '2010s', '2012', 'SNL', 'Saturday Night Live', 'the Avengers', 'movie parodies', 'comics', 'Marvel', 'Iron Man', 'Jeremy Renner', 'Thor', 'Jason Sudeikis', 'Taran Killam', 'Bill Hader', 'Kate McKinnon', 'Captain America', 'Hawkeye', 'Black Widow', 'Incredible Hulk', 'Bobby Moynihan', 'archer', 'bow and arrow']",Hawkeye Disappoints the Avengers - SNL,WUfnQPoJbSc,12222869.0
182,22,UCr8EWTz_8ljPyE27CiSbsGw,The World Adventures हिन्दी,1069.0,6661.0,41819.0,2017-07-02T14:39:26.000Z,"['deadliest creatures on earth', 'top 5 deadliest creatures in the sea', 'deadliest creatures in the ocean', 'Amazon Forest', 'creatures caught on camera', 'top 5 deadliest creatures ever', '5 Most Deadliest Creatures Of The Amazon YOU WONT BELIEVE EXIST!', 'deadliest creatures alive', 'creatures caught on tape', 'top 5 deadliest creatures', 'DEADLIEST Creatures Of The Amazon!', 'deadliest animals to humans', 'top 10 deadliest animals in the world', 'Top 5 animals']",अमेजन जंगल के 5 सबसे खतरनाक जानवर 5 Deadliest Creatures Of The Amazon YOU WONT BELIEVE EXIST!,_g7Bdg4MxAE,11858656.0
181,24,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,72396.0,14019.0,605015.0,2018-06-05T21:14:45.000Z,"['SATIRE', 'lil tay', 'flexing', 'young', '9 years', 'flexer', 'lil', 'tay', 'delete', 'instagram']",RIP LIL TAY,bF_naHpa-T4,11777309.0
183,26,UCsT0YIqwnpJCM-mx7-gSA4Q,TEDx Talks,6644.0,4861.0,207981.0,2013-03-14T17:17:26.000Z,"['United States (Country)', 'tedx talk', 'Psychology', 'Colorado State University', 'English', 'tedx', 'TEDxCSU', 'Parents', 'Learning', 'Entertainment', 'USA', 'tedx talks', 'Music', 'ted x', 'Education', 'ted', 'Lifestyle', 'ted talk', 'ted talks']",The first 20 hours -- how to learn anything | Josh Kaufman | TEDxCSU,5MgBikgcWnY,11651913.0
185,15,UCGPsqOMZNL-qYwlTfw44TSA,Wild Animals,54.0,8736.0,27230.0,2018-05-12T09:02:45.000Z,"['wild animals', 'eagle', 'wild discovery animals', 'animal fights', 'lion', 'monkey', 'leopard', 'zebra', 'tiger', 'crocodile', 'elephants', 'buffalo', 'python', 'snake', 'deer', 'wild animal attacks', 'top animal fight', 'amazing moments of animal fight battle']",LIVE: Most Amazing Moments Of Wild Animal Fights - Wild Discovery Animals - Animals Documentary 2018,Zxfwj24-YcA,11426081.0
186,26,UC4rlAVgAK0SGk-yTfe48Qpw,BRIGHT SIDE,16517.0,12475.0,242644.0,2017-04-05T06:30:01.000Z,"['Bright Side', 'Creativity', 'Positive', 'Stay positive', 'Water', 'Drinks', 'Chris Bailey', 'Lose your weight', 'metabolism', 'brain', 'eat less', 'heart', 'skin problems']",What Would Happen If You Replace All Drinks with Water?,JsYNgHbhwaI,11036172.0
187,26,UC4rlAVgAK0SGk-yTfe48Qpw,BRIGHT SIDE,25038.0,28578.0,169671.0,2017-12-21T03:00:04.000Z,"['self-esteem', 'how to become confident', 'psychology tricks', 'self-respect', 'psychology', 'interesting facts', 'psychology of human behaviour', 'psychology facts', 'facts about people', 'psychological tricks', 'human nature', 'facts about human body', 'amazing facts', 'shocking facts', 'facts you never knew', 'brain power', 'body language', 'scientific facts', 'things you’ve never seen', 'unusual things']",10 Signs  You’re Way More Intelligent Than You Realize,nlJ4WIj3j24,10999845.0
188,24,UCp0hYYBW6IMayGgR-WeoCvQ,TheEllenShow,33390.0,7361.0,205916.0,2018-05-17T13:00:03.000Z,"['ellen', 'ellen degeneres', 'the ellen show', 'ellen fans', 'yanny or laurel', 'yanny', 'laurel', 'ellen audience', 'plm', 'season 15', 'ellentube', 'monologue', 'season 15 episode 158', 'ellen tickets', 'viral', 'funny', 'debate', 'controversy', 'hilarious', 'what does ellen hear', 'ellen hears laurel', 'ellen weighs in', 'sytycd', 'dancer', 'audience dancer', 'lex ishimoto', 'lex', 'ishimoto', 'lex sytycd', 'sytycd winner']",Laurel or Yanny?,f_R9_xdhuNw,10871671.0
190,23,UCGwcH4qnJ2qM_ZJUSFcAMAA,JianHao Tan,22298.0,9097.0,131582.0,2018-05-13T13:40:45.000Z,"['jianhao tan', 'thejianhaotan', 'jian hao', 'jianhaotan', 'kim lee', 'singapore', 'singaporean', 'youtubers', 'youtube', 'jian hao tan', 'jianhao', 'the jianhao tan', 'youtuber', 'Good student', 'bad student', 'bad students vs good students', 'types of students', 'students', 'during', 'exam', 'how to', 'types of', 'school', 'secondary school', 'poly', 'internship', 'test', 'quiz', 'teachers', 'principle', 'student', 'studying', 'studies', 'types', 'vs', 'thanos', 'good', 'bad']",GOOD STUDENTS vs BAD STUDENTS,1KofiHFsBQk,10796353.0
189,26,UC295-Dw_tDNtZXFeAPAW6Aw,5-Minute Crafts,3809.0,7749.0,65010.0,2017-09-15T07:30:00.000Z,"['5-Minute Crafts', 'DIY', 'Do it yourself', 'crafts', 'trucos', 'trucos de belliza', 'proyectos faciles', 'useful things', 'lifehacks', 'tricks', 'tips', 'DIY projects', 'DIY activities', 'Handcraft', 'Tutorial', 'soap', 'soap hacks', 'diy soap', 'liquid soap', 'bathroom', 'bath', 'bathroom hacks', 'toilet', 'easy life hacks', 'simple life hacks', 'lazy hacks', 'mascara wand', 'wire hangers', 'paint', 'painting', 'repair', 'glasses', 'wine corks', 'drill hacks', 'T-shirt', 'bottle', 'camp', 'camping', 'camping hacks', 'trip', 'travel', 'traveling', 'travel hacks', 'scotch tape']",25 AWESOME HACKS YOU'LL WISH YOU'D SEEN SOONER,mKjQDybga60,10775442.0
191,24,UCglYq701IltaH0Fk-z3UsSA,Top5Central,5238.0,8721.0,104917.0,2017-12-30T21:56:03.000Z,"['secrets', 'secret rooms', 'secret rooms found in peoples houses', 'top 5', 'list', 'video', 'top 5 secret rooms', 'top 5 secret rooms found in peoples houses', 'top 5 videos', 'top 5 secret rooms found', 'top 5 secret rooms found in peoples homes', 'secret', 'rooms', 'home']",Top 5 Strangest Secret Rooms FOUND IN PEOPLES HOUSES!,yw8f-wc7Z3Q,10606190.0
